ecoregion,year,Latitude,Longitude,PTP,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,GCSP
AP,2005,58.88702452,-155.8056487,182360504,0,0.1197411,0.449838188,0.1197411,0,0,0.310679612,0,0
LH,2004,60.63722366,-154.156137,223120204,0,0,0.73968254,0.222222222,0,0.038095238,0,0,0
LH,2004,60.63688754,-154.271918,223120309,0,0,0.708333333,0.291666667,0,0,0,0,0
LH,2004,60.17216465,-154.3747648,211150101,0,0,0.006430868,0,0.019292605,0.122186495,0.852090032,0,0
AP,2005,59.22177494,-155.5146504,189560102,0.047923323,0.038338658,0.14057508,0.025559105,0,0.092651757,0.654952077,0,0
AP,2005,59.2179662,-155.4416407,189560203,0,0,0.303797468,0.696202532,0,0,0,0,0
LH,2004,60.90160003,-153.8561024,230310106,0.082802548,0,0.130573248,0.742038217,0,0,0,0.044585987,0
AP,2005,58.75329813,-154.7230047,175250108,0,0,0,0.706070288,0,0,0,0.293929712,0
LH,2004,60.64612004,-154.2531904,223120305,0.067307692,0,0.490384615,0.426282051,0,0,0.016025641,0,0
AP,2005,58.45459342,-154.7379632,168070208,0,0,0.287974684,0,0.712025316,0,0,0,0
LH,2004,60.81678816,-153.9321977,227920402,0,0,0,0.261146497,0,0,0,0.738853503,0
AP,2005,58.77635381,-155.273375,177610204,0,0,0.03525641,0.926282051,0,0,0,0.038461538,0
AP,2005,58.91013443,-155.7551802,182360204,0,0,0.290734824,0.226837061,0.006389776,0.028753994,0.424920128,0,0
AP,2005,59.22085762,-155.4483248,189560202,0.053797468,0,0.094936709,0.851265823,0,0,0,0,0
LH,2004,60.6432463,-154.2459598,223120304,0.050955414,0,0.350318471,0.506369427,0,0,0.092356688,0,0
LH,2004,60.90063058,-153.9030633,230310112,0,0,0.528846154,0.445512821,0,0,0,0.025641026,0
AP,2005,58.87992203,-155.8313871,182360404,0,0,0.564102564,0.419871795,0.016025641,0,0,0,0
AP,2005,58.56332313,-154.569565,170470102,0,0,0.463258786,0.466453674,0,0,0,0.07028754,0
AP,2005,58.65037858,-154.9745716,172840401,0,0,0,0.766773163,0,0,0,0.233226837,0
AR,2004,60.72362959,-153.9568207,225530204,0,0,0.003194888,0.226837061,0,0,0,0.769968051,0
AP,2005,58.743986,-154.7513558,175250112,0,0,0,0.945337621,0,0,0,0.054662379,0
AP,2005,58.48565751,-156.1569473,172770109,0,0,0.850318471,0.149681529,0,0,0,0,0
AP,2005,58.70368422,-155.5030182,177590201,0.006389776,0,0.015974441,0,0.313099042,0.223642173,0.424920128,0,0
LH,2004,60.01251438,-154.5765283,208750407,0.003154574,0,0.488958991,0,0.031545741,0.135646688,0.340694006,0,0
AR,2004,60.72032754,-153.1098279,223180303,0,0,0,0.446202532,0,0,0,0.553797468,0
AR,2006,60.01891882,-152.8694779,204060201,0.006349206,0,0.977777778,0,0,0,0.015873016,0,0
LH,2004,60.4724004,-153.7741002,218360401,0.329073482,0,0,0,0.051118211,0.019169329,0.348242812,0.252396166,0
AP,2005,58.54408608,-154.5776527,170470301,0,0,0.246794872,0.679487179,0,0,0,0.073717949,0
AP,2005,58.51404685,-156.1456786,172770121,0,0,0.920127796,0.079872204,0,0,0,0,0
AP,2005,58.76309146,-155.2666407,177610201,0,0,0.015822785,0.949367089,0,0,0,0.034810127,0
AP,2005,58.76646099,-155.1796823,177610103,0,0,0,0.92721519,0,0,0,0.07278481,0
AP,2005,59.01618898,-154.9546427,182410202,0,0,0,0.936908517,0,0,0,0.063091482,0
LH,2004,60.17141288,-154.3819099,211150301,0.337620579,0,0.083601286,0,0,0,0.578778135,0,0
AP,2005,58.41580507,-155.9944838,170390303,0,0.015822785,0.113924051,0.018987342,0.018987342,0.303797468,0.528481013,0,0
LH,2004,60.76175166,-153.9390763,225530105,0,0,0,0.217665615,0,0,0,0.782334385,0
AP,2005,59.22161937,-155.5232496,189560101,0,0,0.473015873,0.415873016,0,0.00952381,0.101587302,0,0
AR,2004,60.9607616,-153.9914782,232700102,0.262658228,0.018987342,0.607594937,0,0,0,0.110759494,0,0
AP,2006,58.70506707,-154.0092718,172900104,0,0,0,0.196141479,0,0,0,0.803858521,0
AR,2004,60.70038213,-153.0416373,223180110,0,0,0.945859873,0,0,0.041401274,0,0.012738854,0
LH,2004,60.90133726,-153.8938621,230310111,0,0,0.648734177,0.303797468,0,0.025316456,0,0.022151899,0
AR,2004,59.97301533,-154.0645081,206380203,0,0,0.867088608,0,0,0.018987342,0.113924051,0,0
AR,2004,60.72293641,-153.0509801,223180204,0,0,0.233974359,0.766025641,0,0,0,0,0
LH,2004,60.76624654,-153.9563682,225530107,0,0,0.041533546,0.817891374,0,0,0,0.14057508,0
LH,2004,60.57898242,-153.766981,220750209,0.022292994,0,0.751592357,0.054140127,0,0,0.098726115,0.073248408,0
AR,2004,60.96586609,-154.4889187,232670205,0,0,0.228571429,0,0,0.003174603,0.768253968,0,0
AR,2006,60.02882078,-152.8720074,204060301,0,0,0.984177215,0,0,0,0,0.015822785,0
LH,2004,60.81610043,-153.9538795,227920404,0,0,0,0.800632911,0,0,0,0.199367089,0
LH,2004,60.62611118,-154.2696432,223120401,0.056962025,0,0.71835443,0.17721519,0.009493671,0,0.037974684,0,0
LH,2004,60.01747881,-154.5623999,208750411,0,0.009493671,0.544303797,0,0,0.085443038,0.360759494,0,0
AP,2005,59.21521962,-155.4118575,189560302,0.21221865,0,0.302250804,0.485530547,0,0,0,0,0
LH,2004,60.81785887,-154.38051,227890501,0.019169329,0,0.559105431,0.019169329,0,0,0.402555911,0,0
AP,2005,58.31028571,-155.0915112,165660205,0,0,0,0.070512821,0,0,0,0.929487179,0
AP,2005,58.76212779,-154.7191809,175250106,0,0,0,0.453674121,0,0,0,0.546325878,0
